"Date","Suburb","Address","Price","Baths","Beds","DistanceTime.min.","Distance.km.","Status"
"29 Jan 2019","Inverell","10 Lindsay Avenue, Inverell","$125,000"," 2"," 4",403.416666666667,561.941,"Sold"
"25 Jan 2019","Parkes","39 Forbes Road, Parkes","$125,000"," 1"," 2",262.666666666667,340.97,"Sold"
"24 Jan 2019","Nundle","3 South Lynne Close, Nundle","$120,000"," 1"," 2",272.066666666667,382.849,"Sold"
"23 Jan 2019","Batlow","28 Corralyn Avenue, Batlow","$160,000"," 1"," 2",269.433333333333,436.264,"Sold"
"23 Jan 2019","Greenhill","259 River Street, Greenhill","$132,000"," 1"," 1",274.183333333333,416.74,"Sold"
"23 Jan 2019","Barmedman","29 Queen Street, Barmedman","$115,000"," 1"," 2",285.633333333333,456.329,"Sold"
"22 Jan 2019","Tumut","7 Booral Avenue, Tumut","$150,000"," 1"," 3",253.45,409.311,"Sold"
"22 Jan 2019","Copmanhurst","36 Prescott Street, Copmanhurst","$110,000"," 1"," 3",401.433333333333,622.629,"Sold"
"21 Jan 2019","Quirindi","45 Loder Street, Quirindi","$170,000"," 1"," 2",242.033333333333,339.247,"Sold"
"21 Jan 2019","Coonabarabran","3 Knight Street, Coonabarabran","$135,000"," 1"," 2",327.233333333333,444.916,"Sold"
"21 Jan 2019","Narrandera","7 William Street, Narrandera","$131,500"," 1"," 3",334.233333333333,527.307,"Sold"
"21 Jan 2019","Coonabarabran","2 Hill Street, Coonabarabran","$131,000"," 1"," 2",327.233333333333,444.916,"Sold"
"21 Jan 2019","Bundarra","3 Souter Street, Bundarra","$130,000"," 1"," 3",396.783333333333,543.02,"Sold"
"21 Jan 2019","Finley","45 Hampden Street, Finley","$130,000"," 1"," 3",408.616666666667,657.711,"Sold"
"19 Jan 2019","Baradine","3 Masman St, Baradine","$120,000"," 1"," 3",354.35,483.877,"Sold"
"18 Jan 2019","Guyra","10030 Guyra Road, Guyra","$148,000"," 1"," 5",365.133333333333,501.665,"Sold"
"18 Jan 2019","Bonalbo","55 Sandilands Street, Bonalbo","$138,000"," 1"," 3",503.5,767.12,"Sold"
"18 Jan 2019","Cassilis","3 Buccleugh Street, Cassilis","$105,000"," 1"," 3",233.116666666667,339.77,"Sold"
"18 Jan 2019","Barraba","12 Rodney Street, Barraba","$45,000"," 1"," 2",345.666666666667,486.82,"Sold"
"17 Jan 2019","Leeton","18 Mitchell Street, Leeton","$168,000"," 1"," 3",355.416666666667,556.851,"Sold"
"17 Jan 2019","Inverell","45 Gleno Street, Inverell","$145,000"," 1"," 3",403.416666666667,561.941,"Sold"
"17 Jan 2019","West Albury","34 Waratah Crescent, West Albury","$145,000"," 1"," 3",327.383333333333,553.29,"Sold"
"16 Jan 2019","Brewarrina","55 Bourke St, Brewarrina","$150,000"," 1"," 3",524.466666666667,764.395,"Sold"
"15 Jan 2019","Glen Innes","138 Coronation Avenue, Glen Innes","$160,000"," 1"," 2",401.983333333333,559.494,"Sold"
"15 Jan 2019","Cooma","9 Nuralda Place, Cooma","$160,000"," 1"," 3",244.033333333333,395.036,"Sold"
"15 Jan 2019","Tumut","21 Kinred Street, Tumut","$153,000"," 1"," 3",253.45,409.311,"Sold"
"15 Jan 2019","South Grafton","2 Angophora Way, South Grafton","$149,000"," 1"," 3",385.533333333333,600.403,"Sold"
"14 Jan 2019","Young","21 Ripon Street, Young","$172,500"," 1"," 3",229.6,371.605,"Sold"
"14 Jan 2019","Grenfell","11 Goodes Lane, Grenfell","$154,000"," 1"," 1",265.45,344.956,"Sold"
"14 Jan 2019","Mendooran","5 FARNELL STREET, Mendooran","$110,000"," 1"," 3",277.933333333333,368.217,"Sold"
"14 Jan 2019","Condobolin","8 High Street, Condobolin","$97,500"," 1"," 3",328.45,442.722,"Sold"
"14 Jan 2019","Berrigan","25 Barooga St, Berrigan","$89,000"," 1"," 2",393.616666666667,635.493,"Sold"
"14 Jan 2019","Broken Hill","507 Lane Lane, Broken Hill","$46,000"," 1"," 2",747.5,1126.84,"Sold"
