"","Suburb","Address","Price","Baths","Beds","DistanceTime.min.","Distance.km."
"86","Kelso","628 Argent Street, Broken Hill","119000"," 1"," 3",147.9,180.4
"87","Springfield","28 Queen Street, Barmedman","$90,000"," 1"," 4",66.4333333333333,70.3
"88","Cumnock","171 Grey Street, Glen Innes","$20,000 PLUS STOCK"," 1"," 1",234.65,297.163
"89","Oberon","335 Morish St, Broken Hill","92500"," 1"," 2",152.283333333333,172.362
"90","Broken Hill","37 Arthur Street, Wellington","$169,500"," 1"," 3",747.5,1126.84
"91","Broken Hill","10 Johnson Street, Caroona","$150,000"," 1"," 3",747.5,1126.84
"92","Broken Hill","157 Knox St, Broken Hill","$90,000"," 1"," 3",747.5,1126.84
"93","Aberdeen","99 Wilkes Street, Wentworth","$110,000"," 2"," 3",178.466666666667,251.816
"94","Lockhart","50 Livingstone Street, Mathoura","$115,000"," 1"," 4",319.516666666667,519.498
"95","Pooncarie","53 Harris St, Broken Hill","$100,000"," 1"," 3",703,1137.758
"96","Broken Hill","5 Fairway Drive, Tumut","$150,000"," 1"," 2",747.5,1126.84
"97","Coonamble","102 Maxwell Street, Wellington","Auction on site"," 1"," 3",371.333333333333,517.207
"98","Broken Hill","26 Cromarty Street, Quirindi","$160,000"," 1"," 3",747.5,1126.84
"99","South Grafton","411 Iodide St, Broken Hill","$175,000"," 2"," 4",380.516666666667,597.104
"100","Turramurra","1A Bonanza St, Broken Hill","$89,000"," 1"," 2",28.3,23.022
"101","Broken Hill","110 Oxide St, Broken Hill","$98,000"," 1"," 2",747.5,1126.84
"102","Coonamble","80 Gaffney Lane, Broken Hill","$85,000"," 1"," 2",371.333333333333,517.207
"103","Broken Hill","50 Ferrier Street, Lockhart","$80,000"," 1"," 2",747.5,1126.84
"104","Scone","9/429 McDonald Road, Lavington","$100,000"," 1"," 2",191.116666666667,265.882
"105","Kooringal","173 - 175 Cummins Lane, Broken Hill","$100,000"," 1"," 3",275,455.478
"106","Broken Hill","676 McGowen Street, Broken Hill","$95,000"," 1"," 3",747.5,1126.84
"107","Port Macquarie","284 Patton St, Broken Hill","$69,000"," 1"," 2",245.05,374.344
"108","South Grafton","3a Livingstone Street, Mathoura","$149,000"," 1"," 2",380.516666666667,597.104
"109","Winston Hills","401 Cummins Street, Broken Hill","$99,000"," 1"," 2",11.8333333333333,8.122
