"X","Suburb","Address","Price","Baths","Beds","DistanceTime.min.","Distance.km.","Status","Date"
931,"Broken Hill","25 Hill Street, Quirindi","$110,000",1,1,747.5,1126.84,"ForSale",NA
932,"Port Macquarie","25 William Street, Narrandera","Reduced $164,000",1,3,245.05,374.344,"ForSale",NA
933,"South Grafton","4 Mitchell Street, Moree","$135,000",1,2,380.516666666667,597.104,"ForSale",NA
934,"Winston Hills","50 Tycannah Street, Moree","$125,000",2,3,11.8333333333333,8.122,"ForSale",NA
935,"Broken Hill","332 Chester Street, Moree","$110,000",1,2,747.5,1126.84,"ForSale",NA
936,"Kelso","6 Bowler St, Eugowra","$165,000",1,4,147.9,180.4,"ForSale",NA
937,"Springfield","4 Waratah Avenue, Inverell","$144,000",1,3,66.4333333333333,70.3,"ForSale",NA
938,"Cumnock","173 DANDALOO STREET, Narromine","$170,000",2,3,234.65,297.163,"ForSale",NA
939,"Oberon","327 Boston St, Moree","$95,000",1,2,152.283333333333,172.362,"ForSale",NA
940,"Broken Hill","104B Pierce Street, Wellington","$145,000",1,2,747.5,1126.84,"ForSale",NA
941,"Broken Hill","17 Condamine Street, Ungarie","REDUCED $99,000",1,3,747.5,1126.84,"ForSale",NA
942,"Broken Hill","93 Tilga St, Canowindra","$160,000",1,3,747.5,1126.84,"ForSale",NA
943,"Aberdeen","86 Woodenbong Road, Bonalbo","$145,000",1,2,178.466666666667,251.816,"ForSale",NA
944,"Lockhart","61 Clive Street, Inverell","$175,000",1,3,319.516666666667,519.498,"ForSale",NA
